time,control,MK801
9.29265,-47.3125,-43.8125
9.2927,-47.28125,-44.09375
9.29275,-47.5625,-43.96875
9.2928,-47.40625,-43.65625
9.29285,-47.125,-43.9375
9.292900000000001,-47.28125,-43.84375
9.292950000000001,-47.75,-43.8125
9.293000000000001,-47.78125,-43.65625
9.293050000000001,-47.21875,-43.84375
9.2931,-47.0625,-43.65625
9.29315,-47.46875,-43.53125
9.2932,-47.46875,-43.59375
9.29325,-47.28125,-43.71875
9.2933,-47.28125,-43.78125
9.29335,-47.625,-43.3125
9.2934,-47.6875,-43.53125
9.29345,-47.59375,-43.4375
9.2935,-47.34375,-43.5625
9.29355,-47.375,-43.4375
9.2936,-47.53125,-43.4375
9.293650000000001,-47.59375,-43.15625
9.293700000000001,-47.375,-43.40625
9.293750000000001,-47.625,-43.625
9.293800000000001,-47.84375,-43.40625
9.29385,-47.625,-43.21875
9.2939,-47.28125,-43.15625
9.29395,-47.25,-43.34375
9.294,-47.65625,-43.03125
9.29405,-47.5625,-42.875
9.2941,-47.625,-43.03125
9.29415,-47.46875,-42.9375
9.2942,-47.625,-43.09375
9.29425,-47.84375,-42.9375
9.2943,-47.6875,-43.03125
9.29435,-47.25,-42.875
9.294400000000001,-47.46875,-43.0
9.294450000000001,-47.90625,-43.09375
9.294500000000001,-47.875,-42.71875
9.294550000000001,-47.53125,-42.78125
9.2946,-47.59375,-42.8125
9.29465,-47.8125,-43.0
9.2947,-47.625,-42.75
9.29475,-47.28125,-42.5625
9.2948,-47.15625,-42.53125
9.29485,-47.8125,-42.6875
9.2949,-47.84375,-42.59375
9.29495,-47.59375,-42.4375
9.295,-47.4375,-42.46875
9.29505,-47.78125,-42.5
9.2951,-47.84375,-42.46875
9.29515,-47.53125,-42.40625
9.295200000000001,-47.28125,-42.4375
9.295250000000001,-47.875,-42.25
9.295300000000001,-48.0625,-42.34375
9.295350000000001,-48.0,-42.46875
9.2954,-47.5625,-42.28125
9.29545,-47.5,-42.28125
9.2955,-47.84375,-42.09375
9.29555,-47.625,-42.28125
9.2956,-47.40625,-42.28125
9.29565,-47.75,-42.09375
9.2957,-48.1875,-42.21875
9.29575,-47.9375,-42.09375
9.2958,-47.625,-42.28125
9.29585,-47.46875,-42.09375
9.2959,-47.84375,-41.84375
9.295950000000001,-47.78125,-42.0625
9.296000000000001,-47.78125,-42.25
9.296050000000001,-47.6875,-42.03125
9.296100000000001,-47.96875,-41.84375
9.29615,-47.96875,-41.90625
9.2962,-47.71875,-41.84375
9.29625,-47.4375,-42.1875
9.2963,-47.625,-42.03125
9.29635,-47.8125,-41.78125
9.2964,-47.9375,-41.71875
9.29645,-47.71875,-41.9375
9.2965,-47.96875,-41.96875
9.29655,-48.15625,-41.625
9.2966,-47.84375,-41.71875
9.29665,-47.59375,-41.53125
9.296700000000001,-47.53125,-41.65625
9.296750000000001,-47.84375,-41.65625
9.296800000000001,-48.03125,-41.34375
9.296850000000001,-47.90625,-41.40625
9.2969,-47.78125,-41.40625
9.29695,-47.9375,-41.5625
9.297,-48.0,-41.40625
9.29705,-47.78125,-41.25
9.2971,-47.375,-41.28125
